Sample.date,sampling.week,sampling.week.end,treatment,Heated,Invasion,Mesocosm,rep,A_TotalAlgae,A_Green,A_Cyanobacteria,A_Chromophytes,A_Cryptophytes
19/05/20,0,1,H,Y,N,15,1,14.55,14.52,0.03,0,0
19/05/20,0,1,H,Y,N,16,2,7.38,7.11,0,0.27,0
19/05/20,0,1,H,Y,N,20,3,10.84,10.62,0.22,0,0
19/05/20,0,1,H,Y,N,23,4,16.43,15.46,0.43,0.54,0
19/05/20,0,1,H,Y,N,26,5,7.91,7.82,0.1,0,0
19/05/20,0,1,H,Y,N,27,6,11.89,11.89,0,0,0
26/05/20,1,2,H,Y,N,15,1,14.24,14.1,0.14,0,0
26/05/20,1,2,H,Y,N,16,2,16.05,16.05,0,0,0
26/05/20,1,2,H,Y,N,20,3,14.16,13.16,0.38,0.62,0
26/05/20,1,2,H,Y,N,23,4,43.36,40.79,1.63,0.94,0
26/05/20,1,2,H,Y,N,26,5,18.32,17.9,0.36,0.06,0
26/05/20,1,2,H,Y,N,27,6,10.41,10.01,0.4,0,0
2/06/20,2,3,H,Y,N,15,1,9.87,3.12,6.75,0,0
2/06/20,2,3,H,Y,N,16,2,13.34,9.91,3.43,0,0
2/06/20,2,3,H,Y,N,20,3,16.93,9.1,7.83,0,0
2/06/20,2,3,H,Y,N,23,4,33.33,16.56,16.77,0,0
2/06/20,2,3,H,Y,N,26,5,10.92,5.6,5.32,0,0
2/06/20,2,3,H,Y,N,27,6,9.05,5.34,3.71,0,0
